,address,apartment_size,begin_date,category,created_at,district1,id,latitude,longitude,name,normalized_price,number_of_bedrooms,occupied_dates,provider_code,city_code
1613,Brouwersgracht,120.0,2018-02-16,apartment,2018-01-20T06:14:25,amsterdam-centrum,935096,52.3792059,4.89092269,3 rooms apartment in Brouwersgracht,2750.0,3,[],pararius,amsterdam
1615,IJburglaan,134.0,2018-02-16,apartment,2017-12-24T07:57:05,amsterdam-oost,844374,52.35862193,4.99044671,4 rooms apartment in IJburglaan,2250.0,4,[],pararius,amsterdam
1617,Bloemgracht,80.0,2018-02-16,apartment,2018-02-08T06:57:41,amsterdam-centrum,1013593,52.37483949,4.88069194,2 rooms apartment in Bloemgracht,1650.0,2,[],pararius,amsterdam
1618,Derde Looiersdwarsstraat 16,90.0,2018-02-16,apartment,2018-01-05T07:33:55,amsterdam-centrum,867597,52.36836287,4.87941505,3 rooms apartment in Derde Looiersdwarsstraat 16,2150.0,3,[],pararius,amsterdam
1619,Nassaukade,115.0,2018-02-16,apartment,2018-01-16T06:16:24,amsterdam-west,920312,52.36706588,4.87668425,3 rooms apartment in Nassaukade,2450.0,3,[],pararius,amsterdam
1620,President Kennedylaan,110.0,2018-02-16,apartment,2018-01-27T06:55:06,amsterdam-zuid,963230,52.343613399999995,4.91256976,3 rooms apartment in President Kennedylaan,2400.0,3,[],pararius,amsterdam
1628,Amstelvlietstraat,53.0,2018-02-16,apartment,2018-01-28T06:34:59,amsterdam-oost,968554,52.33871305,4.91858811,2 rooms apartment in Amstelvlietstraat,1500.0,2,[],pararius,amsterdam
1630,William Barlowlaan,130.0,2018-02-16,apartment,2018-01-27T06:54:10,amsterdam-oost,963164,52.3610607,4.98076513,4 rooms apartment in William Barlowlaan,2200.0,4,[],pararius,amsterdam
1631,Korte Leidsedwarsstraat,85.0,2018-02-16,apartment,2017-11-05T10:25:00,amsterdam-centrum,668761,52.36307925,4.88479337,3 rooms apartment in Korte Leidsedwarsstraat,2000.0,3,[],pararius,amsterdam
1633,Eerste Schinkelstraat,52.0,2018-02-16,apartment,2018-01-20T06:15:11,amsterdam-zuid,935139,52.35389801,4.85406976,2 rooms apartment in Eerste Schinkelstraat,1600.0,2,[],pararius,amsterdam
1637,Singel,100.0,2018-02-16,apartment,2017-11-28T08:02:26,amsterdam-centrum,705274,52.36714969,4.89218813,3 rooms apartment in Singel,2500.0,3,[],pararius,amsterdam
1638,Weteringschans 57,96.0,2018-02-16,apartment,2018-01-06T09:58:06,amsterdam-centrum,875714,52.36173911,4.88578893,3 rooms apartment in Weteringschans 57,2150.0,3,[],pararius,amsterdam
1639,Cornelis Schuytstraat,150.0,2018-02-16,apartment,2017-10-21T06:55:45,amsterdam-zuid,612315,52.35519734,4.87144839,4 rooms apartment in Cornelis Schuytstraat,2950.0,4,[],pararius,amsterdam
1641,Bos en Lommerplantsoen,30.0,2018-02-16,apartment,2018-02-07T06:57:45,amsterdam-west,1007960,52.37593568,4.84442435,2 rooms apartment in Bos en Lommerplantsoen,1350.0,2,[],pararius,amsterdam
1642,Transvaalkade,65.0,2018-02-16,apartment,2017-12-28T23:10:48,amsterdam-oost,850309,52.35192993,4.92006912,2 rooms apartment in Transvaalkade,1550.0,2,[],pararius,amsterdam
1643,Purperhoedenveem,145.0,2018-02-16,apartment,2018-01-13T06:35:46,amsterdam-oost,909057,52.37599541,4.92602765,3 rooms apartment in Purperhoedenveem,1900.0,3,[],pararius,amsterdam
1644,Derde Egelantiersdwarsstraat 6,125.0,2018-02-16,apartment,2017-10-21T08:09:17,amsterdam-centrum,616708,52.37642773,4.88008637,3 rooms apartment in Derde Egelantiersdwarsstraat 6,2350.0,3,[],pararius,amsterdam
1645,Vondelstraat,100.0,2018-02-16,apartment,2017-10-21T06:56:20,amsterdam-west,612356,52.3628145,4.87872981,3 rooms apartment in Vondelstraat,2500.0,3,[],pararius,amsterdam
1649,Tweede Bloemdwarsstraat 1,55.0,2018-02-16,apartment,2017-12-30T07:00:19,amsterdam-centrum,854853,52.37414225,4.87948105,3 rooms apartment in Tweede Bloemdwarsstraat 1,1695.0,3,[],pararius,amsterdam
1654,Herengracht,90.0,2018-02-16,apartment,2017-11-30T09:01:53,amsterdam-centrum,708517,52.37003756,4.88644399,2 rooms apartment in Herengracht,2750.0,2,[],pararius,amsterdam
1656,Hof van Groenen,100.0,2018-02-16,apartment,2018-02-03T06:27:21,amsterdam-zuid,994301,52.33095463,4.88123654,3 rooms apartment in Hof van Groenen,1750.0,3,[],pararius,amsterdam
1660,Singel 99,120.0,2018-02-16,apartment,2018-01-06T09:58:36,amsterdam-centrum,875739,52.37588221,4.89134171,4 rooms apartment in Singel 99,2975.0,4,[],pararius,amsterdam
1661,Leo Hornstraat,90.0,2018-02-16,apartment,2017-10-21T06:59:14,amsterdam-oost,612557,52.37210028,4.97081719,3 rooms apartment in Leo Hornstraat,1700.0,3,[],pararius,amsterdam
